調價日期,無鉛汽油92,無鉛汽油95,無鉛汽油98
2020/8/17,22.5,24,26
2020/8/3,22.4,23.9,25.9
2020/7/27,22.3,23.8,25.8
2020/7/20,22.2,23.7,25.7
2020/7/13,22.3,23.8,25.8
2020/7/6,22.2,23.7,25.7
2020/6/29,22,23.5,25.5
2020/6/22,21.7,23.2,25.2
2020/6/15,21.4,22.9,24.9
2020/6/8,20.6,22.1,24.1
2020/6/1,19.9,21.4,23.4
2020/5/25,19.6,21.1,23.1
2020/5/18,19.1,20.6,22.6
2020/5/11,18.2,19.7,21.7
2020/5/4,16.2,17.7,19.7
2020/4/27,16.1,17.6,19.6
2020/4/20,17,18.5,20.5
2020/4/13,17.9,19.4,21.4
2020/4/6,17.3,18.8,20.8
2020/3/30,18.2,19.7,21.7
2020/3/23,19,20.5,22.5
2020/3/16,20.3,21.8,23.8
2020/3/9,24.1,25.6,27.6
2020/3/2,24.7,26.2,28.2
2020/2/24,25.5,27,29
2020/2/10,24.9,26.4,28.4
2020/2/3,25.9,27.4,29.4
2020/1/27,26.8,28.3,30.3
2020/1/20,27.1,28.6,30.6
2020/1/13,27.8,29.3,31.3
